"","full_address","status","price","bed","bath","acre_lot","street","city","state","zip_code","house_size","sold_date","sold_year","n1_total","total_credit_amt","taxable_income_amt","mortgageint_amt","p_mortgageint_nr","inctax_amt","p_unemploy_nr","agi_amt","num_dependents","re_taxes_nr","agi_bucket"
"1","02 Trouble Ln, Smyrna, DE, 19977","for_sale",515990,4,3,0.28,"02 Trouble Ln","Smyrna","Delaware","19977",3000,2014-12-22,"2014",10680,795.439138576779,53602.3520599251,4395.94850187266,3170,6945.96348314607,0.0627340823970037,92782.4531835206,1425.0936329588,521.87265917603,2.51029962546817
"2","1 Academy Cir Unit 109, Philadelphia, PA, 19146","for_sale",399000,1,1,NA,"1 Academy Cir Unit 109","Philadelphia","Pennsylvania","19146",921,2012-06-26,"2012",17850,871.228011204482,88135.2929971989,4099.77759103641,3700,14082.8459383754,0.092436974789916,147306.327731092,2337.93277310924,525.081232492997,2.3624649859944
"3","1 Avery St Apt 29C, Boston, MA, 02111","for_sale",1895000,2,3,0.03,"1 Avery St Apt 29C","Boston","Massachusetts","02111",1504,2010-06-01,"2010",2932,934.693383356071,74834.5262619373,1638.82371108458,634.0001,20415.4761255116,0.0972033424283765,93948.4079126876,245.386425648022,107.205320600273,2.67769440654843
"4","1 Avery St Ph 2A, Boston, MA, 02111","for_sale",8900000,5,6,NA,"1 Avery St Ph 2A","Boston","Massachusetts","02111",4421,2011-09-09,"2011",2940,320.423469387755,59142.0778911565,1336.08609547619,587.0001,15919.5299319728,0.0826531292517007,75680.8040816327,248.636394557823,99.0561224489796,2.68673469387755
"5","1 Barway Ln, Cumberland, RI, 02864","for_sale",644500,5,3,0.82,"1 Barway Ln","Cumberland","Rhode Island","02864",2400,2014-07-11,"2014",17330,1004.46508944028,125370.070398153,7476.87939988459,6080,20060.5199076746,0.0825158684362377,186279.641661858,1582.93133294864,1092.73514137334,2.85458742065782
"6","1 Bittersweet Dr, West Chester, PA, 19382","for_sale",4750000,6,11,7.37,"1 Bittersweet Dr","West Chester","Pennsylvania","19382",18001,2014-04-04,"2014",24470,1981.7605230895,360704.108295873,15672.7494891704,9410,80665.4474867184,0.0420923579893747,460554.734368615,2321.96158561504,1805.93379648549,3.22108704536167
"7","1 Broad St Unit 10F, Stamford, CT, 06901","for_sale",5e+05,2,3,NA,"1 Broad St Unit 10F","Stamford","Connecticut","06901",1530,2011-10-04,"2011",4168,1332.0810940499,50373.1573896353,934.785055590211,562.0001,10947.2130518234,0.0726967610364683,64784.3531669866,246.570057581574,90.2243282149712,2.93881957773512
"8","1 Broad St Unit 32C, Stamford, CT, 06901","for_sale",875000,3,4,NA,"1 Broad St Unit 32C","Stamford","Connecticut","06901",1863,2013-08-29,"2013",4220,1176.40521327014,52322.6255924171,886.521327014218,550,11864.5331753554,0.0592417061611374,66058.2156398104,234.075829383886,86.5876777251185,3.00947867298578
"9","1 Brush Pasture Ln Unit 219, Portland, CT, 06480","for_sale",133000,1,1,NA,"1 Brush Pasture Ln Unit 219","Portland","Connecticut","06480",840,2013-06-14,"2013",4760,308.521008403361,39790.8844537815,2288.32142857143,1920,6546.08403361345,0.0945378151260504,57737.018907563,426.428571428571,395.273109243697,2.98529411764706
"10","1 Central Park W Unit 1100, New York City, NY, 10023","for_sale",3495000,2,3,NA,"1 Central Park W Unit 1100","New York City","New York","10023",1340,2010-02-16,"2010",34540,9112.03425014476,1521632.17486972,33879.4852634627,10772,428443.193341054,0.0809206716850029,1935641.75541401,1744.99933410539,2257.24791546034,3.57921250723799
