,full_address,status,price,bed,bath,house,acre_lot,house*acre lot,street,city,state,zip_code,house_size,sold_date,sold_year,n1_total,total_credit_amt,taxable_income_amt,mortgageint_amt,p_mortgageint_nr,inctax_amt,p_unemploy_nr,agi_amt,num_dependents,p_re_taxes_nr,agi_bucket
1,"02 Trouble Ln, Smyrna, DE, 19977",for_sale,515990,4,3,1,0.28,0.28,02 Trouble Ln,Smyrna,Delaware,19977,3000,12/22/14,2014,10680,0.430524345,35.43314607,2.6917603,0.296816479,5.239138577,0.062734082,54.63735955,0.6582397,0.306179775,2.510299625
2,"1 Academy Cir Unit 109, Philadelphia, PA, 19146",for_sale,399000,1,1,0,NA,0,1 Academy Cir Unit 109,Philadelphia,Pennsylvania,19146,921,6/26/12,2012,17850,0.247170868,44.23086835,2.146610644,0.207282913,8.769355742,0.092436975,61.26313725,0.477310924,0.22464986,2.362464986
3,"1 Avery St Apt 29C, Boston, MA, 02111",for_sale,1895000,2,3,0,0.03,0,1 Avery St Apt 29C,Boston,Massachusetts,2111,1504,6/1/10,2010,2932,2.189631651,181.2725102,4.328785846,0.216234686,49.40961801,0.097203342,220.5627558,0.317530696,0.269099591,2.677694407
4,"1 Avery St Ph 2A, Boston, MA, 02111",for_sale,8900000,5,6,0,NA,0,1 Avery St Ph 2A,Boston,Massachusetts,2111,4421,9/9/11,2011,2940,0.727891156,143.2346939,3.501020442,0.199659898,38.46768707,0.082653129,175.9608844,0.313945578,0.254761905,2.686734694
5,"1 Barway Ln, Cumberland, RI, 02864",for_sale,644500,5,3,1,0.82,0.82,1 Barway Ln,Cumberland,Rhode Island,2864,2400,7/11/14,2014,17330,0.377899596,52.33802654,2.810328909,0.350836699,9.358857473,0.082515868,72.9779573,0.532602424,0.397576457,2.854587421
6,"1 Bittersweet Dr, West Chester, PA, 19382",for_sale,4750000,6,11,1,7.37,7.37,1 Bittersweet Dr,West Chester,Pennsylvania,19382,18001,4/4/14,2014,24470,0.529342051,95.33011851,3.93543114,0.384552513,21.77793216,0.042092358,119.7501839,0.563547201,0.451164691,3.221087045
7,"1 Broad St Unit 10F, Stamford, CT, 06901",for_sale,5.00E+05,2,3,0,NA,0,1 Broad St Unit 10F,Stamford,Connecticut,6901,1530,10/4/11,2011,4168,2.946017274,98.68258157,1.737524016,0.134836876,22.56070058,0.072696761,122.0242322,0.318857965,0.153790787,2.938819578
8,"1 Broad St Unit 32C, Stamford, CT, 06901",for_sale,875000,3,4,0,NA,0,1 Broad St Unit 32C,Stamford,Connecticut,6901,1863,8/29/13,2013,4220,2.522985782,99.1028436,1.619194313,0.130331754,23.81090047,0.059241706,120.3992891,0.305687204,0.1492891,3.009478673
9,"1 Brush Pasture Ln Unit 219, Portland, CT, 06480",for_sale,133000,1,1,0,NA,0,1 Brush Pasture Ln Unit 219,Portland,Connecticut,6480,840,6/14/13,2013,4760,0.390756303,55.75546218,2.922478992,0.403361345,10.01953782,0.094537815,77.49915966,0.516806723,0.491596639,2.985294118
10,"1 Central Park W Unit 1100, New York City, NY, 10023",for_sale,3495000,2,3,0,NA,0,1 Central Park W Unit 1100,New York City,New York,10023,1340,2/16/10,2010,34540,1.240532716,209.6850898,4.854198031,0.311870295,58.05570353,0.080920672,267.9037927,0.257064273,0.351013318,3.579212507
